topic,indicator_en,indicator_zh,value,unit,year,scope,source_name,link,evidence,note
demand,Energy sector share of consumption,能源部門用電占比,6.5,%,2024,Taiwan (national),"MOEA, supply-demand report 113年度 (FY2024), Figure 2-1, p. 2 (PDF p. 6)",https://data.gov.tw/dataset/16437,downloaded,18.5 TWh
demand,Change in consumption vs 2024,用電量較 2024 年變化,-0.3,%,2025,Taiwan (national),"MOEA, news release on the supply-demand report 114年度 (FY2025)",https://www.moea.gov.tw/Mns/populace/news/News.aspx?kind=1&menu_id=40&news_id=123066,page_opened,About -0.84 TWh
demand,Forecast demand growth 2026-2035,2026-2035 年用電成長率預估,2.5,%/yr,2026-2035,Taiwan (national),"MOEA, news release on the supply-demand report 114年度 (FY2025)",https://www.moea.gov.tw/Mns/populace/news/News.aspx?kind=1&menu_id=40&news_id=123066,page_opened,AI data centres included as a separate driver for the first time
generation,Total generation,總發電量,289.4,TWh,2024,Taiwan (national),Energy Administration: generation by source (annual),https://data.gov.tw/dataset/16481,downloaded,"Coal 39.2%, gas 42.3%, oil 1.4%, nuclear 4.2%, renewables 11.8%, pumped storage 1.1% (EIA brief: 288.6 TWh)"
generation,Total generation,總發電量,289.7,TWh,2025,Taiwan (national),Energy Administration: generation by source (annual),https://data.gov.tw/dataset/16481,downloaded,"Coal 35.3%, gas 47.7%, oil 1.5%, nuclear 1.1%, renewables 13.3%, pumped storage 1.1%"
generation,Taipower system generation,台電系統發電量,251.44,TWh,2024,Taipower system,Taipower (via search summary),,search_summary,"Excluding wheeling; gas 47.2%, coal 31.1%, oil 1.4%, nuclear 8.2%, renewables 11.9%"
generation,Taipower electricity sales,台電售電量,233,TWh,2023,Taipower system,e-info.org.tw,https://e-info.org.tw/node/238379,search_summary,
emissions,Grid emission factor,電力排碳係數,0.474,kg CO2e/kWh,2024,Taipower system (public supply),Energy Administration: energy indicators (annual),https://data.gov.tw/dataset/8308,downloaded,Published 2025-04-14
emissions,Grid emission factor,電力排碳係數,0.494,kg CO2e/kWh,2023,Taipower system (public supply),Energy Administration: energy indicators (annual),https://data.gov.tw/dataset/8308,downloaded,
price,Average electricity price,平均電價,3.75,NT$/kWh,2025 H1,Taipower tariffs,The Reporter (報導者),https://www.twreporter.org/a/data-reporter-taiwan-freezing-electricity-rates,search_summary,Tariffs frozen in the first half of 2025
price,Residential average price,住宅平均電價,2.77,NT$/kWh,2025 H1,Taipower tariffs,The Reporter (報導者),https://www.twreporter.org/a/data-reporter-taiwan-freezing-electricity-rates,search_summary,From October 2025: +0.1 NT$/kWh up to 700 kWh/month (2.87)
price,Industrial average price,工業平均電價,4.27,NT$/kWh,2025 H1,Taipower tariffs,The Reporter (報導者),https://www.twreporter.org/a/data-reporter-taiwan-freezing-electricity-rates,search_summary,
price,EUR exchange rate (spot midpoint),歐元匯率（即期中間價）,36.185,NT$/EUR,2026-09-24,Bank of Taiwan,Bank of Taiwan exchange rates,https://rate.bot.com.tw/xrt?Lang=zh-TW,page_opened,"Buy 35.885, sell 36.485 (17:01); used for NT$/kWh on this dashboard"
policy,Renewable share target,再生能源發電占比目標,20,%,2025,Taiwan (national),Presidential Office,https://www.president.gov.tw/NEWS/20654,search_summary,Moved to November 2026 in the 2025 report; 30% by 2030. Reported 2025 share: 13.3%
policy,Solar PV target,太陽光電目標,20,GW,2025,Taiwan (national),Presidential Office / Executive Yuan,https://www.president.gov.tw/NEWS/20654,search_summary,From 2026: +2 GW per year
policy,Offshore wind target,離岸風電目標,5.7,GW,2025,Taiwan (national),Presidential Office,https://www.president.gov.tw/News/24873,search_summary,
policy,Offshore wind target,離岸風電目標,15.7,GW,2035,Taiwan (national),Offshore wind Round 3 zonal development,https://technews.tw/2026/03/20/taiwan-energy-policy/,search_summary,About 1 GW released per year from 2026
policy,Renewables in 2050 electricity supply,2050 年再生能源供電占比,60-70,%,2050,Taiwan (national),National Development Council: Taiwan 2050 net-zero pathway,https://ncsd.ndc.gov.tw/Fore/nsdn/about0/2050Path,search_summary,"Hydrogen 9-12%, thermal with CCUS 20-27%, pumped hydro 1%"
policy,Imported energy dependence,進口能源依存度,97.4,%,2021,Taiwan (national),National Development Council: Taiwan 2050 net-zero pathway,https://ncsd.ndc.gov.tw/Fore/nsdn/about0/2050Path,search_summary,Target below 50% by 2050
resource,Solar technical potential (model),太陽光電技術潛力（模型）,50.3,GW,2013 weather,Taiwan main island,PyPSA-Earth land eligibility,,model_output,Maximum installable capacity on eligible land in the model
resource,Onshore wind technical potential (model),陸域風電技術潛力（模型）,43.0,GW,2013 weather,Taiwan main island,PyPSA-Earth land eligibility,,model_output,
resource,Offshore wind technical potential (model),離岸風電技術潛力（模型）,50.5,GW,2013 weather,Taiwan waters,PyPSA-Earth land eligibility,,model_output,AC-connected 12.6 GW + DC-connected 37.9 GW
resource,Solar capacity factor (2013 weather),太陽光電容量因數（2013 年氣象）,13.3,%,2013 weather,Taiwan main island,ERA5 via atlite (model),,model_output,
resource,Offshore wind capacity factor (2013 weather),離岸風電容量因數（2013 年氣象）,41.9,%,2013 weather,Taiwan waters,ERA5 via atlite (model),,model_output,Existing farms
emissions,Grid emission factor,電力排碳係數,0.467,kg CO2e/kWh,2025,Taipower system (public supply),Energy Administration: energy indicators (annual),https://data.gov.tw/dataset/8308,downloaded,
demand,Forecast demand growth 2025-2034,2025-2034 年用電成長率預估,1.7,%/yr,2025-2034,Taiwan (national),"MOEA, supply-demand report 113年度 (FY2024), Section 3.1(1), p. 7 (PDF p. 11)",https://data.gov.tw/dataset/16437,downloaded,2025 edition; previous 10 years 1.23%/yr. Night peak +2.1%/yr
demand,Night peak load (forecast),夜尖峰負載（預測）,46.0,GW,2034,Taipower system,"MOEA, supply-demand report 113年度 (FY2024), Table 3-2, p. 20 (PDF p. 24)",https://data.gov.tw/dataset/16437,downloaded,From 36.9 GW (2025); Table 3-2
policy,Solar PV target,太陽光電目標,31.2,GW,2030,Taiwan (national),"MOEA, supply-demand report 113年度 (FY2024), Table 3-1, p. 19 (PDF p. 23)",https://data.gov.tw/dataset/16437,downloaded,32.7 GW by 2032; Table 3-1
policy,Offshore wind target,離岸風電目標,10.9,GW,2030,Taiwan (national),"MOEA, supply-demand report 113年度 (FY2024), Table 3-1, p. 19 (PDF p. 23)",https://data.gov.tw/dataset/16437,downloaded,"13.9 GW by 2032, subject to Round 3.3; Table 3-1"
policy,Renewable share target,再生能源發電占比目標,30,%,2030,Taiwan (national),"MOEA, supply-demand report 113年度 (FY2024), Section 3.2(1), p. 11 (PDF p. 15)",https://data.gov.tw/dataset/16437,downloaded,20% by November 2026
capacity,New gas capacity 2025-2034,2025-2034 年新增燃氣機組,25.2,GW,2025-2034,Taipower system,"MOEA, supply-demand report 113年度 (FY2024), Section 3.3(1), p. 18 (PDF p. 22)",https://data.gov.tw/dataset/16437,downloaded,"Retirements 12.9 GW (coal, oil, gas): net +12.2 GW"
